CreateObject(1344, 2489.9390, -1649.5145, 13.3163, 0.0000, 0.0000, 0.0000);
CreateObject(1237, -321.20001220703, 1394.4000244141, 70.900001525879, 0, 0, 0);
CreateObject(1237, -322.10000610352, 1395.0999755859, 70.800003051758, 0, 0, 0);
CreateObject(1237, -322.79998779297, 1395.9000244141, 70.699996948242, 0, 0, 0);
CreateObject(1237, -323.29998779297, 1396.6999511719, 70.599998474121, 0, 0, 0);
CreateObject(1237, -323.89999389648, 1397.5999755859, 70.599998474121, 0, 0, 0);
CreateObject(1237, -324.39999389648, 1398.5999755859, 70.400001525879, 0, 0, 0);
CreateObject(1237, -344.39999389648, 1463.8000488281, 63.599998474121, 0, 0, 0);
CreateObject(1237, -345.29998779297, 1464.5999755859, 63.599998474121, 0, 0, 0);
CreateObject(1237, -346.20001220703, 1465.4000244141, 63.5, 0, 0, 0);
CreateObject(1237, -347.20001220703, 1466.1999511719, 63.5, 0, 0, 0);
CreateObject(1237, -348, 1466.9000244141, 63.400001525879, 0, 0, 0);
CreateObject(1237, -348.89999389648, 1467.5999755859, 63.400001525879, 0, 0, 0);
CreateObject(1237, -349.89999389648, 1468.3000488281, 63.299999237061, 0, 0, 0);
CreateObject(1237, -350.79998779297, 1469.0999755859, 63.200000762939, 0, 0, 0);
CreateObject(1237, -351.89999389648, 1469.6999511719, 63.200000762939, 0, 0, 0);
CreateObject(1237, -352.79998779297, 1470.5, 63.099998474121, 0, 0, 0);
CreateObject(1237, -353.89999389648, 1471, 63.099998474121, 0, 0, 0);
CreateObject(1237, -355.10000610352, 1471.3000488281, 63, 0, 0, 0);
CreateObject(1237, -356.20001220703, 1471.4000244141, 63, 0, 0, 0);
CreateObject(1237, -357.5, 1471.5999755859, 62.900001525879, 0, 0, 0);
CreateObject(1237, -358.70001220703, 1471.6999511719, 62.900001525879, 0, 0, 0);
CreateObject(1237, -359.79998779297, 1471.8000488281, 62.799999237061, 0, 0, 0);
CreateObject(1237, -360.89999389648, 1471.6999511719, 62.700000762939, 0, 0, 0);
CreateObject(1237, -362.20001220703, 1471.6999511719, 62.599998474121, 0, 0, 0);
CreateObject(1237, -363.5, 1471.5999755859, 62.5, 0, 0, 0);
CreateObject(1237, -364.89999389648, 1471.5, 62.400001525879, 0, 0, 0);
CreateObject(1237, -366.10000610352, 1471.3000488281, 62.299999237061, 0, 0, 0);
CreateObject(1237, -367.20001220703, 1471.0999755859, 62.200000762939, 0, 0, 0);
CreateObject(1237, -368.29998779297, 1470.8000488281, 62.099998474121, 0, 0, 0);
CreateObject(1237, -369.29998779297, 1470.5999755859, 62, 0, 0, 0);
CreateObject(1237, -370.5, 1470.3000488281, 61.900001525879, 0, 0, 0);
CreateObject(1237, -371.60000610352, 1469.9000244141, 61.799999237061, 0, 0, 0);
CreateObject(1237, -372.60000610352, 1469.5, 61.700000762939, 0, 0, 0);
CreateObject(1237, -373.70001220703, 1469, 61.599998474121, 0, 0, 0);
CreateObject(1237, -374.79998779297, 1468.5, 61.5, 0, 0, 0);
CreateObject(1237, -375.89999389648, 1468, 61.400001525879, 0, 0, 0);
CreateObject(1237, -377.10000610352, 1467.3000488281, 61.299999237061, 0, 0, 0);
CreateObject(1237, -378.20001220703, 1466.5, 61.200000762939, 0, 0, 0);
CreateObject(1237, -379.29998779297, 1465.6999511719, 61.099998474121, 0, 0, 0);
CreateObject(1237, -380.39999389648, 1464.9000244141, 60.900001525879, 0, 0, 0);
CreateObject(1237, -381.39999389648, 1463.9000244141, 60.900001525879, 0, 0, 0);
CreateObject(1237, -382.20001220703, 1462.6999511719, 60.799999237061, 0, 0, 0);
CreateObject(1237, -382.89999389648, 1461.6999511719, 60.700000762939, 0, 0, 0);
CreateObject(1237, -383.60000610352, 1460.5999755859, 60.700000762939, 0, 0, 0);
CreateObject(1237, -384.20001220703, 1459.5, 60.599998474121, 0, 0, 0);
CreateObject(1237, -384.70001220703, 1458.5, 60.5, 0, 0, 0);
CreateObject(1237, -385, 1457.3000488281, 60.5, 0, 0, 0);
CreateObject(1237, -385.39999389648, 1456.1999511719, 60.5, 0, 0, 0);
CreateObject(1237, -385.79998779297, 1454.9000244141, 60.5, 0, 0, 0);
CreateObject(1237, -386.10000610352, 1453.6999511719, 60.5, 0, 0, 0);
CreateObject(1237, -386.5, 1452.5, 60.400001525879, 0, 0, 0);
CreateObject(1237, -386.5, 1451, 60.400001525879, 0, 0, 0);
CreateObject(1237, -386.29998779297, 1449.5999755859, 60.400001525879, 0, 0, 0);
CreateObject(1237, -386, 1448.0999755859, 60.299999237061, 0, 0, 0);
CreateObject(1237, -385.60000610352, 1446.6999511719, 60.299999237061, 0, 0, 0);
CreateObject(1237, -385.20001220703, 1445.4000244141, 60.200000762939, 0, 0, 0);
CreateObject(1237, -385, 1444.1999511719, 60.200000762939, 0, 0, 0);
CreateObject(1237, -384.70001220703, 1442.9000244141, 60.200000762939, 0, 0, 0);
CreateObject(1237, -384.5, 1441.6999511719, 60.099998474121, 0, 0, 0);
CreateObject(1237, -384.20001220703, 1440.5, 60.099998474121, 0, 0, 0);
CreateObject(1237, -384, 1439.4000244141, 60.099998474121, 0, 0, 0);
CreateObject(1237, -335.29998779297, 1309.6999511719, 51.099998474121, 0, 0, 0);
CreateObject(1237, -336.60000610352, 1310.1999511719, 51, 0, 0, 0);
CreateObject(1237, -338, 1310.6999511719, 50.900001525879, 0, 0, 0);
CreateObject(1237, -339.39999389648, 1311.3000488281, 50.799999237061, 0, 0, 0);
CreateObject(1237, -340.89999389648, 1312, 50.700000762939, 0, 0, 0);
CreateObject(1237, -342.39999389648, 1312.6999511719, 50.599998474121, 0, 0, 0);
CreateObject(1237, -343.60000610352, 1313.6999511719, 50.599998474121, 0, 0, 0);
CreateObject(1237, -344.60000610352, 1314.5, 50.5, 0, 0, 0);
CreateObject(1237, -345.5, 1315.5, 50.400001525879, 0, 0, 0);
CreateObject(1237, -346.5, 1316.4000244141, 50.400001525879, 0, 0, 0);
CreateObject(1237, -347.39999389648, 1317.3000488281, 50.299999237061, 0, 0, 0);
CreateObject(1237, -348.39999389648, 1318.1999511719, 50.299999237061, 0, 0, 0);
CreateObject(1237, -349.39999389648, 1319.0999755859, 50.200000762939, 0, 0, 0);
CreateObject(1237, -350.20001220703, 1320, 50.099998474121, 0, 0, 0);
CreateObject(1237, -324.89999389648, 1309.9000244141, 51.700000762939, 0, 0, 0);
CreateObject(1237, -323.89999389648, 1310.5, 51.799999237061, 0, 0, 0);
CreateObject(1237, -323, 1311.0999755859, 51.900001525879, 0, 0, 0);
CreateObject(1237, -322, 1311.6999511719, 52, 0, 0, 0);
CreateObject(1237, -321, 1312.1999511719, 52, 0, 0, 0);
CreateObject(1237, -320, 1312.6999511719, 52.099998474121, 0, 0, 0);
CreateObject(1237, -319, 1313.1999511719, 52.200000762939, 0, 0, 0);
CreateObject(1237, -318.10000610352, 1314, 52.299999237061, 0, 0, 0);
CreateObject(1237, -317.5, 1315, 52.299999237061, 0, 0, 0);
CreateObject(1237, -317, 1315.9000244141, 52.400001525879, 0, 0, 0);
CreateObject(1237, -316.39999389648, 1316.9000244141, 52.5, 0, 0, 0);
CreateObject(1237, -313.60000610352, 1324.6999511719, 52.900001525879, 0, 0, 0);
CreateObject(1237, -313.60000610352, 1326, 52.900001525879, 0, 0, 0);
CreateObject(1237, -313.5, 1327.3000488281, 53, 0, 0, 0);
CreateObject(1237, -313.39999389648, 1328.5999755859, 53.099998474121, 0, 0, 0);
CreateObject(1237, -313.20001220703, 1330, 53.099998474121, 0, 0, 0);
CreateObject(1237, -313.39999389648, 1331.3000488281, 53.200000762939, 0, 0, 0);
CreateObject(1237, -313.70001220703, 1332.5, 53.200000762939, 0, 0, 0);
CreateObject(1237, -313.89999389648, 1333.9000244141, 53.299999237061, 0, 0, 0);
CreateObject(1237, -314.39999389648, 1335.1999511719, 53.299999237061, 0, 0, 0);
CreateObject(1237, -314.70001220703, 1336.5, 53.400001525879, 0, 0, 0);
CreateObject(1237, -315.10000610352, 1338, 53.400001525879, 0, 0, 0);
CreateObject(1237, -404.60000610352, 1447.3000488281, 35.299999237061, 0, 0, 0);
CreateObject(1237, -405.60000610352, 1448.3000488281, 35.200000762939, 0, 0, 0);
CreateObject(1237, -406.60000610352, 1449.4000244141, 35.099998474121, 0, 0, 0);
CreateObject(1237, -408, 1450.3000488281, 34.900001525879, 0, 0, 0);
CreateObject(1237, -409.29998779297, 1451, 34.700000762939, 0, 0, 0);
CreateObject(1237, -410.39999389648, 1451.8000488281, 34.599998474121, 0, 0, 0);
CreateObject(1237, -411.70001220703, 1452.5, 34.5, 0, 0, 0);
CreateObject(1237, -413, 1453, 34.400001525879, 0, 0, 0);
CreateObject(1237, -414.29998779297, 1453.4000244141, 34.200000762939, 0, 0, 0);
CreateObject(1237, -415.60000610352, 1453.8000488281, 34.099998474121, 0, 0, 0);
CreateObject(1237, -416.89999389648, 1454.0999755859, 34, 0, 0, 0);
CreateObject(1237, -418.29998779297, 1454.4000244141, 33.900001525879, 0, 0, 0);
CreateObject(1237, -419.60000610352, 1454.5, 33.799999237061, 0, 0, 0);
CreateObject(1237, -420.89999389648, 1454.4000244141, 33.700000762939, 0, 0, 0);
CreateObject(1237, -422, 1454.4000244141, 33.599998474121, 0, 0, 0);
CreateObject(1237, -423.20001220703, 1454.3000488281, 33.5, 0, 0, 0);
CreateObject(1237, -422.29998779297, 1441.1999511719, 33.599998474121, 0, 0, 0);
CreateObject(1237, -421, 1441.4000244141, 33.799999237061, 0, 0, 0);
CreateObject(1237, -419.70001220703, 1441.5, 34, 0, 0, 0);
CreateObject(1237, -418.39999389648, 1441.0999755859, 34.299999237061, 0, 0, 0);
CreateObject(1237, -417.10000610352, 1440.5999755859, 34.700000762939, 0, 0, 0);
CreateObject(1237, -416, 1439.9000244141, 34.900001525879, 0, 0, 0);
CreateObject(1237, -415, 1439.0999755859, 35.200000762939, 0, 0, 0);
CreateObject(1237, -414, 1438.0999755859, 35.5, 0, 0, 0);
CreateObject(1237, -413, 1437.1999511719, 35.700000762939, 0, 0, 0);
CreateObject(3524, -347.20001220703, 1534.6999511719, 77.400001525879, 0, 0, 0);
CreateObject(3524, -347.79998779297, 1524.9000244141, 77.199996948242, 0, 0, 172);
CreateObject(1237, -487.29998779297, 1936.0999755859, 85.900001525879, 0, 0, 0);
CreateObject(1237, -487, 1937.6999511719, 85.900001525879, 0, 0, 0);
CreateObject(1237, -486.70001220703, 1939.4000244141, 85.800003051758, 0, 0, 0);
CreateObject(1237, -487.29998779297, 1934.5999755859, 85.900001525879, 0, 0, 0);
CreateObject(1237, -486.39999389648, 1940.5999755859, 85.800003051758, 0, 0, 0);
CreateObject(1237, -486.20001220703, 1942, 85.800003051758, 0, 0, 0);
CreateObject(1237, -485.89999389648, 1943.4000244141, 85.699996948242, 0, 0, 0);
CreateObject(1237, -485.60000610352, 1944.9000244141, 85.699996948242, 0, 0, 0);
CreateObject(1237, -485.39999389648, 1946.4000244141, 85.599998474121, 0, 0, 0);
CreateObject(1237, -485, 1947.9000244141, 85.599998474121, 0, 0, 0);
CreateObject(1237, -484.60000610352, 1949.3000488281, 85.5, 0, 0, 0);
CreateObject(1237, -484, 1950.4000244141, 85.300003051758, 0, 0, 0);
CreateObject(1237, -483.39999389648, 1951.6999511719, 85.099998474121, 0, 0, 0);
CreateObject(1237, -482.79998779297, 1953, 84.900001525879, 0, 0, 0);
CreateObject(1237, -482.20001220703, 1954.1999511719, 84.699996948242, 0, 0, 0);
CreateObject(1237, -481.60000610352, 1955.1999511719, 84.5, 0, 0, 0);
CreateObject(1237, -481, 1956.1999511719, 84.400001525879, 0, 0, 0);
CreateObject(1237, -480.5, 1957.4000244141, 84.199996948242, 0, 0, 0);
CreateObject(1237, -479.79998779297, 1958.5999755859, 84, 0, 0, 0);
CreateObject(1237, -479, 1959.8000488281, 83.800003051758, 0, 0, 0);
CreateObject(1237, -478.29998779297, 1961.0999755859, 83.5, 0, 0, 0);
CreateObject(1237, -477.60000610352, 1962.3000488281, 83.400001525879, 0, 0, 0);
CreateObject(1237, -373, 2056.6999511719, 60.299999237061, 0, 0, 0);
CreateObject(1237, -372, 2059.3999023438, 60, 0, 0, 0);
CreateObject(1237, -371.5, 2061.1000976563, 59.799999237061, 0, 0, 0);
CreateObject(1237, -371.39999389648, 2062.6999511719, 59.799999237061, 0, 0, 0);
CreateObject(1237, -371.60000610352, 2064.3000488281, 59.799999237061, 0, 0, 0);
CreateObject(1237, -371.89999389648, 2066, 59.700000762939, 0, 0, 0);
CreateObject(1237, -372.10000610352, 2067.6000976563, 59.700000762939, 0, 0, 0);
CreateObject(1237, -372.39999389648, 2069, 59.599998474121, 0, 0, 0);
CreateObject(1237, -372.70001220703, 2070.3999023438, 59.599998474121, 0, 0, 0);
CreateObject(1237, -372.89999389648, 2071.8999023438, 59.5, 0, 0, 0);
CreateObject(1237, -373.39999389648, 2073.3000488281, 59.599998474121, 0, 0, 0);
CreateObject(1237, -374.20001220703, 2074.5, 59.599998474121, 0, 0, 0);
CreateObject(1237, -375.29998779297, 2075.8999023438, 59.599998474121, 0, 0, 0);
CreateObject(1237, -372.5, 2058, 60.099998474121, 0, 0, 0);
CreateObject(1237, -373.60000610352, 2055.1999511719, 60.400001525879, 0, 0, 0);
CreateObject(1237, -374.39999389648, 2053.8999023438, 60.5, 0, 0, 0);
CreateObject(1237, -375.20001220703, 2052.6999511719, 60.599998474121, 0, 0, 0);
CreateObject(1237, -376, 2051.3000488281, 60.700000762939, 0, 0, 0);
CreateObject(1237, -376.70001220703, 2050.1000976563, 60.799999237061, 0, 0, 0);
CreateObject(1237, -376.29998779297, 2077.1999511719, 59.599998474121, 0, 0, 0);
CreateObject(1237, -377.20001220703, 2078.5, 59.700000762939, 0, 0, 0);
CreateObject(1237, -378.10000610352, 2079.6999511719, 59.700000762939, 0, 0, 0);
CreateObject(1237, -379, 2080.8000488281, 59.700000762939, 0, 0, 0);
CreateObject(1237, -380.20001220703, 2081.8999023438, 59.799999237061, 0, 0, 0);
CreateObject(1237, -381.5, 2082.8000488281, 59.799999237061, 0, 0, 0);
CreateObject(1237, -382.89999389648, 2083.5, 59.900001525879, 0, 0, 0);
CreateObject(1237, -384.29998779297, 2084.1999511719, 59.900001525879, 0, 0, 0);
CreateObject(1237, -385.29998779297, 2085, 60, 0, 0, 0);
CreateObject(1237, -386.29998779297, 2085.6999511719, 60, 0, 0, 0);
CreateObject(1237, -387.39999389648, 2086.3999023438, 60.099998474121, 0, 0, 0);
CreateObject(1237, -388.79998779297, 2087.1000976563, 60.099998474121, 0, 0, 0);
CreateObject(1237, -390.39999389648, 2087.6000976563, 60.200000762939, 0, 0, 0);
CreateObject(1237, -391.89999389648, 2087.8000488281, 60.299999237061, 0, 0, 0);
CreateObject(1237, -393.29998779297, 2088.3000488281, 60.299999237061, 0, 0, 0);
CreateObject(1237, -394.70001220703, 2088.5, 60.400001525879, 0, 0, 0);
CreateObject(1237, -396, 2088.6999511719, 60.400001525879, 0, 0, 0);
CreateObject(1237, -397.20001220703, 2088.8999023438, 60.5, 0, 0, 0);
CreateObject(1237, -398.5, 2089.1999511719, 60.5, 0, 0, 0);
CreateObject(1237, -399.79998779297, 2088.8000488281, 60.599998474121, 0, 0, 0);
CreateObject(1237, -401.39999389648, 2088.3999023438, 60.599998474121, 0, 0, 0);
CreateObject(1237, -403, 2087.8000488281, 60.700000762939, 0, 0, 0);
CreateObject(1237, -404.5, 2087.3000488281, 60.700000762939, 0, 0, 0);
CreateObject(1237, -405.89999389648, 2086.8999023438, 60.700000762939, 0, 0, 0);
CreateObject(1237, -407.29998779297, 2086.3999023438, 60.799999237061, 0, 0, 0);
CreateObject(1237, -408.79998779297, 2085.8999023438, 60.799999237061, 0, 0, 0);
CreateObject(996, -459, 2034.1999511719, 60.400001525879, 0, 0, 48);
CreateObject(1237, -541.09997558594, 1981.1999511719, 59.400001525879, 0, 0, 0);
CreateObject(1237, -540.09997558594, 1980.4000244141, 59.400001525879, 0, 0, 0);
CreateObject(1237, -539.09997558594, 1979.6999511719, 59.400001525879, 0, 0, 0);
CreateObject(1237, -537.90002441406, 1978.9000244141, 59.400001525879, 0, 0, 0);
CreateObject(1237, -536.59997558594, 1978.1999511719, 59.400001525879, 0, 0, 0);
CreateObject(1237, -535.40002441406, 1977.5999755859, 59.400001525879, 0, 0, 0);
CreateObject(1237, -534.20001220703, 1977.0999755859, 59.400001525879, 0, 0, 0);
CreateObject(1237, -532.79998779297, 1976.5, 59.400001525879, 0, 0, 0);
CreateObject(1237, -531.5, 1975.9000244141, 59.400001525879, 0, 0, 0);
CreateObject(1237, -530, 1975.5, 59.400001525879, 0, 0, 0);
CreateObject(1237, -528.40002441406, 1975.1999511719, 59.400001525879, 0, 0, 0);
CreateObject(1237, -526.5, 1974.8000488281, 59.400001525879, 0, 0, 0);
CreateObject(1237, -524.70001220703, 1974.4000244141, 59.400001525879, 0, 0, 0);
CreateObject(1237, -522.90002441406, 1974.1999511719, 59.400001525879, 0, 0, 0);
CreateObject(1237, -521.09997558594, 1974.1999511719, 59.400001525879, 0, 0, 0);
CreateObject(1237, -519.40002441406, 1974.3000488281, 59.400001525879, 0, 0, 0);
CreateObject(1237, -517.70001220703, 1974.4000244141, 59.400001525879, 0, 0, 0);
CreateObject(1237, -516.29998779297, 1974.5, 59.299999237061, 0, 0, 0);
CreateObject(1237, -514.90002441406, 1974.6999511719, 59.299999237061, 0, 0, 0);
CreateObject(1237, -513.40002441406, 1975, 59.299999237061, 0, 0, 0);
CreateObject(1237, -512, 1975.1999511719, 59.299999237061, 0, 0, 0);
CreateObject(1237, -510.5, 1975.3000488281, 59.400001525879, 0, 0, 0);
CreateObject(1237, -509.10000610352, 1975.6999511719, 59.400001525879, 0, 0, 0);
CreateObject(1237, -507.5, 1976.1999511719, 59.299999237061, 0, 0, 0);
CreateObject(1237, -506, 1976.5, 59.400001525879, 0, 0, 0);
CreateObject(1237, -504.29998779297, 1977.1999511719, 59.299999237061, 0, 0, 0);
CreateObject(1237, -502.70001220703, 1977.5, 59.400001525879, 0, 0, 0);
CreateObject(1237, -500.70001220703, 1978.0999755859, 59.400001525879, 0, 0, 0);
CreateObject(1237, -499.29998779297, 1978.6999511719, 59.400001525879, 0, 0, 0);
CreateObject(1237, -497.39999389648, 1979.5, 59.400001525879, 0, 0, 0);
CreateObject(1237, -495.89999389648, 1980.3000488281, 59.299999237061, 0, 0, 0);
CreateObject(1237, -494, 1981.1999511719, 59.299999237061, 0, 0, 0);
CreateObject(1237, -492.5, 1981.8000488281, 59.400001525879, 0, 0, 0);
CreateObject(1237, -491.10000610352, 1982.5, 59.400001525879, 0, 0, 0);
CreateObject(1237, -489.5, 1983.5999755859, 59.400001525879, 0, 0, 0);
CreateObject(1237, -488.20001220703, 1984.5, 59.400001525879, 0, 0, 0);
CreateObject(1237, -486.70001220703, 1985.6999511719, 59.400001525879, 0, 0, 0);
CreateObject(1633, -543.20001220703, 1990.1999511719, 60.5, 0, 0, 52);
CreateObject(979, -591.70001220703, 2024.6999511719, 60, 0, 0, 62);
CreateObject(979, -591.29998779297, 2024.4000244141, 60, 0, 0, 241.99633789063);
CreateObject(1237, -431.60000610352, 1757.3000488281, 71.099998474121, 0, 0, 0);
CreateObject(1237, -430.39999389648, 1757.9000244141, 71.099998474121, 0, 0, 0);
CreateObject(1237, -429.10000610352, 1758.5999755859, 71.199996948242, 0, 0, 0);
CreateObject(1237, -428, 1759.3000488281, 71.199996948242, 0, 0, 0);
CreateObject(1237, -427, 1760, 71.199996948242, 0, 0, 0);
CreateObject(1237, -426.10000610352, 1760.9000244141, 71.199996948242, 0, 0, 0);
CreateObject(1237, -425.29998779297, 1761.9000244141, 71.099998474121, 0, 0, 0);
CreateObject(1237, -424.39999389648, 1763, 71.099998474121, 0, 0, 0);
CreateObject(1237, -423.5, 1764, 71.099998474121, 0, 0, 0);
CreateObject(1237, -422.79998779297, 1764.9000244141, 71.099998474121, 0, 0, 0);
CreateObject(1237, -422, 1765.8000488281, 71.099998474121, 0, 0, 0);
CreateObject(1237, -421.39999389648, 1766.5999755859, 71, 0, 0, 0);
CreateObject(1237, -420.70001220703, 1767.4000244141, 71, 0, 0, 0);
CreateObject(1237, -420, 1768.3000488281, 71, 0, 0, 0);
CreateObject(1237, -419.39999389648, 1769.1999511719, 71, 0, 0, 0);
CreateObject(1237, -418.79998779297, 1770.0999755859, 71, 0, 0, 0);
CreateObject(1237, -418.39999389648, 1771.1999511719, 70.900001525879, 0, 0, 0);
CreateObject(1237, -418, 1772.1999511719, 70.900001525879, 0, 0, 0);
CreateObject(1237, -417.70001220703, 1773.3000488281, 70.800003051758, 0, 0, 0);
CreateObject(1237, -417.5, 1774.5, 70.699996948242, 0, 0, 0);
CreateObject(1237, -417.10000610352, 1775.8000488281, 70.699996948242, 0, 0, 0);
CreateObject(1237, -416.70001220703, 1777.0999755859, 70.599998474121, 0, 0, 0);
CreateObject(1237, -416.39999389648, 1778.5, 70.599998474121, 0, 0, 0);
CreateObject(1237, -416.10000610352, 1780, 70.5, 0, 0, 0);
CreateObject(1237, -415.79998779297, 1781.3000488281, 70.400001525879, 0, 0, 0);
CreateObject(1237, -415.60000610352, 1782.5999755859, 70.400001525879, 0, 0, 0);
CreateObject(1237, -415.5, 1783.8000488281, 70.300003051758, 0, 0, 0);
CreateObject(1237, -432.79998779297, 1756.5999755859, 71.099998474121, 0, 0, 0);
CreateObject(1237, -433.79998779297, 1756.0999755859, 71.099998474121, 0, 0, 0);
CreateObject(1237, -435.10000610352, 1755.5, 71.099998474121, 0, 0, 0);
CreateObject(1237, -436.29998779297, 1754.6999511719, 71.199996948242, 0, 0, 0);
CreateObject(1237, -437.5, 1754.1999511719, 71.199996948242, 0, 0, 0);
CreateObject(1237, -438.89999389648, 1753.5999755859, 71.199996948242, 0, 0, 0);
CreateObject(1237, -440.29998779297, 1753.0999755859, 71.199996948242, 0, 0, 0);
CreateObject(1237, -441.79998779297, 1752.8000488281, 71.199996948242, 0, 0, 0);
CreateObject(1237, -443.29998779297, 1752.5, 71.199996948242, 0, 0, 0);
CreateObject(1237, -444.5, 1752.3000488281, 71.199996948242, 0, 0, 0);
CreateObject(1237, -446, 1752.1999511719, 71.199996948242, 0, 0, 0);
CreateObject(1237, -447.39999389648, 1752, 71.199996948242, 0, 0, 0);
CreateObject(1237, -448.60000610352, 1752, 71.199996948242, 0, 0, 0);
CreateObject(1237, -449.89999389648, 1751.8000488281, 71.199996948242, 0, 0, 0);
CreateObject(1237, -451.20001220703, 1751.9000244141, 71.199996948242, 0, 0, 0);
CreateObject(1237, -452.5, 1751.9000244141, 71.199996948242, 0, 0, 0);
CreateObject(1237, -454.10000610352, 1752.0999755859, 71.199996948242, 0, 0, 0);
CreateObject(1237, -455.29998779297, 1752.5999755859, 71.300003051758, 0, 0, 0);
CreateObject(1237, -456.5, 1753.1999511719, 71.300003051758, 0, 0, 0);
CreateObject(1237, -457.79998779297, 1753.8000488281, 71.300003051758, 0, 0, 0);
CreateObject(1237, -459.39999389648, 1754.4000244141, 71.300003051758, 0, 0, 0);
CreateObject(1237, -460.79998779297, 1755, 71.400001525879, 0, 0, 0);
CreateObject(1237, -462, 1755.6999511719, 71.400001525879, 0, 0, 0);
CreateObject(1237, -463.39999389648, 1756.4000244141, 71.400001525879, 0, 0, 0);
CreateObject(1237, -464.70001220703, 1757, 71.400001525879, 0, 0, 0);
CreateObject(1237, -465.89999389648, 1757.9000244141, 71.5, 0, 0, 0);
CreateObject(1237, -466.89999389648, 1758.9000244141, 71.5, 0, 0, 0);
CreateObject(1237, -467.79998779297, 1760.0999755859, 71.599998474121, 0, 0, 0);
CreateObject(1237, -468.60000610352, 1761.1999511719, 71.699996948242, 0, 0, 0);
CreateObject(1237, -474.39999389648, 1779.6999511719, 73.099998474121, 0, 0, 0);
CreateObject(1237, -469.5, 1762.3000488281, 71.800003051758, 0, 0, 0);
CreateObject(1237, -470.20001220703, 1763.5999755859, 71.900001525879, 0, 0, 0);
CreateObject(1237, -470.89999389648, 1764.8000488281, 72, 0, 0, 0);
CreateObject(1237, -471.5, 1766, 72.099998474121, 0, 0, 0);
CreateObject(1237, -472, 1767, 72.199996948242, 0, 0, 0);
CreateObject(1237, -472.5, 1768.1999511719, 72.199996948242, 0, 0, 0);
CreateObject(1237, -473, 1769.5, 72.300003051758, 0, 0, 0);
CreateObject(1237, -473.5, 1770.8000488281, 72.400001525879, 0, 0, 0);
CreateObject(1237, -474, 1772, 72.5, 0, 0, 0);
CreateObject(1237, -474.29998779297, 1773.4000244141, 72.599998474121, 0, 0, 0);
CreateObject(1237, -474.29998779297, 1774.9000244141, 72.699996948242, 0, 0, 0);
CreateObject(1237, -474.39999389648, 1776.5999755859, 72.800003051758, 0, 0, 0);
CreateObject(1237, -474.5, 1778, 73, 0, 0, 0);
CreateObject(1237, -398.70001220703, 1898.3000488281, 56.299999237061, 0, 0, 0);
CreateObject(1237, -399.10000610352, 1899.9000244141, 56.599998474121, 0, 0, 0);
CreateObject(1237, -399.39999389648, 1901.5, 56.799999237061, 0, 0, 0);
CreateObject(1237, -399.60000610352, 1902.8000488281, 56.900001525879, 0, 0, 0);
CreateObject(1237, -400.5, 1903.9000244141, 57, 0, 0, 0);
CreateObject(1237, -401.29998779297, 1905.0999755859, 57.099998474121, 0, 0, 0);
CreateObject(1237, -402.29998779297, 1906.3000488281, 57.099998474121, 0, 0, 0);
CreateObject(1237, -403.39999389648, 1907.5999755859, 57.200000762939, 0, 0, 0);
CreateObject(1237, -404.79998779297, 1908.4000244141, 57.200000762939, 0, 0, 0);
CreateObject(1237, -406.39999389648, 1909.3000488281, 57.099998474121, 0, 0, 0);
CreateObject(1237, -408.10000610352, 1910.1999511719, 57.099998474121, 0, 0, 0);
CreateObject(1237, -409.70001220703, 1910.6999511719, 57, 0, 0, 0);
CreateObject(1237, -411.20001220703, 1910.9000244141, 57, 0, 0, 0);
CreateObject(1237, -413, 1910.9000244141, 56.900001525879, 0, 0, 0);
CreateObject(1237, -414.79998779297, 1911.0999755859, 56.799999237061, 0, 0, 0);
CreateObject(1237, -416.29998779297, 1910.9000244141, 56.700000762939, 0, 0, 0);
CreateObject(1237, -417.70001220703, 1910.4000244141, 56.700000762939, 0, 0, 0);
CreateObject(1237, -419.20001220703, 1909.9000244141, 56.700000762939, 0, 0, 0);
CreateObject(1237, -420.60000610352, 1909.3000488281, 56.700000762939, 0, 0, 0);
CreateObject(1237, -421.70001220703, 1908.5, 56.700000762939, 0, 0, 0);
CreateObject(1237, -422.70001220703, 1907.5999755859, 56.799999237061, 0, 0, 0);
CreateObject(1237, -423.5, 1906.6999511719, 56.900001525879, 0, 0, 0);
CreateObject(1237, -424.10000610352, 1905.5, 57, 0, 0, 0);
CreateObject(1237, -425.10000610352, 1904.4000244141, 57.099998474121, 0, 0, 0);
CreateObject(1237, -425.60000610352, 1903, 57.299999237061, 0, 0, 0);
CreateObject(1237, -425.89999389648, 1901.5999755859, 57.599998474121, 0, 0, 0);
CreateObject(1237, -426.10000610352, 1900.3000488281, 57.799999237061, 0, 0, 0);
CreateObject(3359, -267.20001220703, 1543.5999755859, 74.400001525879, 0, 0, 313.99475097656);
CreateObject(11393, -270.89999389648, 1546.4000244141, 75.900001525879, 0, 0, 44);
CreateObject(11480, -273, 1551.3000488281, 76.599998474121, 0, 0, 314);
CreateObject(987, -293.20001220703, 1511.1999511719, 74.599998474121, 0, 0, 42);
CreateObject(987, -284.39999389648, 1519.1999511719, 74.599998474121, 0, 0, 41.995239257813);
CreateObject(987, -275.5, 1527.1999511719, 74.599998474121, 0, 0, 41.995239257813);
